metric_key,year,rows_cnt,non_null_cnt
birth_boys,2010,13,13.0
birth_boys,2011,13,13.0
birth_boys,2012,13,13.0
birth_boys,2013,13,13.0
birth_boys,2014,13,13.0
birth_boys,2015,13,13.0
birth_boys,2016,13,13.0
birth_boys,2017,13,13.0
birth_boys,2018,13,13.0
birth_boys,2019,13,13.0
birth_boys,2020,13,13.0
birth_boys,2021,13,13.0
birth_boys,2022,13,13.0
birth_boys,2023,13,13.0
birth_boys,2024,13,13.0
birth_girls,2010,13,13.0
birth_girls,2011,13,13.0
birth_girls,2012,13,13.0
birth_girls,2013,13,13.0
birth_girls,2014,13,13.0
birth_girls,2015,13,13.0
birth_girls,2016,13,13.0
birth_girls,2017,13,13.0
birth_girls,2018,13,13.0
birth_girls,2019,13,13.0
birth_girls,2020,13,13.0
birth_girls,2021,13,13.0
birth_girls,2022,13,13.0
birth_girls,2023,13,13.0
birth_girls,2024,13,13.0
birth_total,2010,13,13.0
birth_total,2011,13,13.0
birth_total,2012,13,13.0
birth_total,2013,13,13.0
birth_total,2014,13,13.0
birth_total,2015,13,13.0
birth_total,2016,13,13.0
birth_total,2017,13,13.0
birth_total,2018,13,13.0
birth_total,2019,13,13.0
birth_total,2020,13,13.0
birth_total,2021,13,13.0
birth_total,2022,13,13.0
birth_total,2023,13,13.0
birth_total,2024,13,13.0
death_men,2010,13,13.0
death_men,2011,13,13.0
death_men,2012,13,13.0
death_men,2013,13,13.0
death_men,2014,13,13.0
death_men,2015,13,13.0
death_men,2016,13,13.0
death_men,2017,13,13.0
death_men,2018,13,13.0
death_men,2019,13,13.0
death_men,2020,13,13.0
death_men,2021,13,13.0
death_men,2022,13,13.0
death_men,2023,13,13.0
death_men,2024,13,13.0
death_total,2010,13,13.0
death_total,2011,13,13.0
death_total,2012,13,13.0
death_total,2013,13,13.0
death_total,2014,13,13.0
death_total,2015,13,13.0
death_total,2016,13,13.0
death_total,2017,13,13.0
death_total,2018,13,13.0
death_total,2019,13,13.0
death_total,2020,13,13.0
death_total,2021,13,13.0
death_total,2022,13,13.0
death_total,2023,13,13.0
death_total,2024,13,13.0
death_women,2010,13,13.0
death_women,2011,13,13.0
death_women,2012,13,13.0
death_women,2013,13,13.0
death_women,2014,13,13.0
death_women,2015,13,13.0
death_women,2016,13,13.0
death_women,2017,13,13.0
death_women,2018,13,13.0
death_women,2019,13,13.0
death_women,2020,13,13.0
death_women,2021,13,13.0
death_women,2022,13,13.0
death_women,2023,13,13.0
death_women,2024,13,13.0
divorces_rural,2010,13,13.0
divorces_rural,2011,13,13.0
divorces_rural,2012,13,13.0
divorces_rural,2013,13,13.0
divorces_rural,2014,13,13.0
divorces_rural,2015,13,13.0
divorces_rural,2016,13,13.0
divorces_rural,2017,13,13.0
divorces_rural,2018,13,13.0
divorces_rural,2019,13,13.0
divorces_rural,2020,13,13.0
divorces_rural,2021,13,13.0
divorces_rural,2022,13,13.0
divorces_rural,2023,13,13.0
divorces_rural,2024,13,13.0
divorces_total,2010,13,13.0
divorces_total,2011,13,13.0
divorces_total,2012,13,13.0
divorces_total,2013,13,13.0
divorces_total,2014,13,13.0
divorces_total,2015,13,13.0
divorces_total,2016,13,13.0
divorces_total,2017,13,13.0
divorces_total,2018,13,13.0
divorces_total,2019,13,13.0
divorces_total,2020,13,13.0
divorces_total,2021,13,13.0
divorces_total,2022,13,13.0
divorces_total,2023,13,13.0
divorces_total,2024,13,13.0
divorces_urban,2010,13,13.0
divorces_urban,2011,13,13.0
divorces_urban,2012,13,13.0
divorces_urban,2013,13,13.0
divorces_urban,2014,13,13.0
divorces_urban,2015,13,13.0
divorces_urban,2016,13,13.0
divorces_urban,2017,13,13.0
divorces_urban,2018,13,13.0
divorces_urban,2019,13,13.0
divorces_urban,2020,13,13.0
divorces_urban,2021,13,13.0
divorces_urban,2022,13,13.0
divorces_urban,2023,13,13.0
divorces_urban,2024,13,13.0
in_migration,2010,13,13.0
in_migration,2011,13,13.0
in_migration,2012,13,13.0
in_migration,2013,13,13.0
in_migration,2014,13,13.0
in_migration,2015,13,13.0
in_migration,2016,13,13.0
in_migration,2017,13,13.0
in_migration,2018,13,13.0
in_migration,2019,13,13.0
in_migration,2020,13,13.0
in_migration,2021,13,13.0
in_migration,2022,13,13.0
in_migration,2023,13,13.0
in_migration,2024,13,13.0
marriages_rural,2010,13,13.0
marriages_rural,2011,13,13.0
marriages_rural,2012,13,13.0
marriages_rural,2013,13,13.0
marriages_rural,2014,13,13.0
marriages_rural,2015,13,13.0
marriages_rural,2016,13,13.0
marriages_rural,2017,13,13.0
marriages_rural,2018,13,13.0
marriages_rural,2019,13,13.0
marriages_rural,2020,13,13.0
marriages_rural,2021,13,13.0
marriages_rural,2022,13,13.0
marriages_rural,2023,13,13.0
marriages_rural,2024,13,13.0
marriages_total,2010,13,13.0
marriages_total,2011,13,13.0
marriages_total,2012,13,13.0
marriages_total,2013,13,13.0
marriages_total,2014,13,13.0
marriages_total,2015,13,13.0
marriages_total,2016,13,13.0
marriages_total,2017,13,13.0
marriages_total,2018,13,13.0
marriages_total,2019,13,13.0
marriages_total,2020,13,13.0
marriages_total,2021,13,13.0
marriages_total,2022,13,13.0
marriages_total,2023,13,13.0
marriages_total,2024,13,13.0
marriages_urban,2010,13,13.0
marriages_urban,2011,13,13.0
marriages_urban,2012,13,13.0
marriages_urban,2013,13,13.0
marriages_urban,2014,13,13.0
marriages_urban,2015,13,13.0
marriages_urban,2016,13,13.0
marriages_urban,2017,13,13.0
marriages_urban,2018,13,13.0
marriages_urban,2019,13,13.0
marriages_urban,2020,13,13.0
marriages_urban,2021,13,13.0
marriages_urban,2022,13,13.0
marriages_urban,2023,13,13.0
marriages_urban,2024,13,13.0
out_migration,2010,13,13.0
out_migration,2011,13,13.0
out_migration,2012,13,13.0
out_migration,2013,13,13.0
out_migration,2014,13,13.0
out_migration,2015,13,13.0
out_migration,2016,13,13.0
out_migration,2017,13,13.0
out_migration,2018,13,13.0
out_migration,2019,13,13.0
out_migration,2020,13,13.0
out_migration,2021,13,13.0
out_migration,2022,13,13.0
out_migration,2023,13,13.0
out_migration,2024,13,13.0
population_men,2010,13,13.0
population_men,2011,13,13.0
population_men,2012,13,13.0
population_men,2013,13,13.0
population_men,2014,13,13.0
population_men,2015,13,13.0
population_men,2016,13,13.0
population_men,2017,13,13.0
population_men,2018,13,13.0
population_men,2019,13,13.0
population_men,2020,13,13.0
population_men,2021,13,13.0
population_men,2022,13,13.0
population_men,2023,13,13.0
population_men,2024,13,13.0
population_rural,2010,13,13.0
population_rural,2011,13,13.0
population_rural,2012,13,13.0
population_rural,2013,13,13.0
population_rural,2014,13,13.0
population_rural,2015,13,13.0
population_rural,2016,13,13.0
population_rural,2017,13,13.0
population_rural,2018,13,13.0
population_rural,2019,13,13.0
population_rural,2020,13,13.0
population_rural,2021,13,13.0
population_rural,2022,13,13.0
population_rural,2023,13,13.0
population_rural,2024,13,13.0
population_total,2010,13,13.0
population_total,2011,13,13.0
population_total,2012,13,13.0
population_total,2013,13,13.0
population_total,2014,13,13.0
population_total,2015,13,13.0
population_total,2016,13,13.0
population_total,2017,13,13.0
population_total,2018,13,13.0
population_total,2019,13,13.0
population_total,2020,13,13.0
population_total,2021,13,13.0
population_total,2022,13,13.0
population_total,2023,13,13.0
population_total,2024,13,13.0
population_urban,2010,13,13.0
population_urban,2011,13,13.0
population_urban,2012,13,13.0
population_urban,2013,13,13.0
population_urban,2014,13,13.0
population_urban,2015,13,13.0
population_urban,2016,13,13.0
population_urban,2017,13,13.0
population_urban,2018,13,13.0
population_urban,2019,13,13.0
population_urban,2020,13,13.0
population_urban,2021,13,13.0
population_urban,2022,13,13.0
population_urban,2023,13,13.0
population_urban,2024,13,13.0
population_women,2014,13,13.0
population_women,2015,13,13.0
population_women,2016,13,13.0
population_women,2017,13,13.0
population_women,2018,13,13.0
population_women,2019,13,13.0
population_women,2020,13,13.0
population_women,2021,13,13.0
population_women,2022,13,13.0
population_women,2023,13,13.0
population_women,2024,13,13.0
