geo_code,year,population_total,population_men,population_women,population_urban,population_rural,sex_diff,settlement_diff,missing_women_flag
1714,2011,2379.5,1203.0,,1434.1,783.1,,162.30000000000018,1
1714,2012,2420.6,1224.2,,1551.0,869.6,,0.0,1
1714,2016,2603.4,1319.5,1283.9,1641.9,961.5,0.0,0.0,0
1714,2020,2810.8,1427.3,1383.5,1815.1,995.7,0.0,0.0,0
1714401,2010,441.3,223.3,,441.3,0.0,,0.0,1
1714401,2013,468.0,239.2,,468.0,0.0,,0.0,1
1714401,2014,475.7,243.5,232.2,475.7,0.0,0.0,0.0,0
1714401,2015,484.9,248.6,236.3,484.9,0.0,0.0,0.0,0
1714401,2017,590.2,302.6,287.6,590.2,0.0,0.0,0.0,0
1714401,2018,600.2,308.2,292.0,600.2,0.0,0.0,0.0,0
1714401,2019,612.2,314.7,297.5,612.2,0.0,0.0,0.0,0
1714401,2021,644.8,331.9,312.9,644.8,0.0,0.0,0.0,0
1714401,2022,661.1,340.2,320.9,661.1,0.0,1.1368683772161603e-13,0.0,0
1714401,2023,678.2,349.0,329.2,678.2,0.0,0.0,0.0,0
1714401,2024,696.5,358.3,338.2,696.5,0.0,0.0,0.0,0
1714204,2010,98.7,49.6,,35.6,63.1,,0.0,1
1714204,2013,109.9,55.7,,38.5,71.4,,0.0,1
1714204,2014,111.9,56.7,55.2,39.0,72.9,0.0,0.0,0
1714204,2015,114.2,57.9,56.3,39.8,74.4,1.4210854715202004e-14,0.0,0
1714204,2017,118.5,60.2,58.3,41.1,77.4,0.0,0.0,0
1714204,2018,120.6,61.3,59.3,41.8,78.8,0.0,0.0,0
1714204,2019,123.1,62.5,60.6,42.7,80.4,0.0,-1.4210854715202004e-14,0
1714204,2021,128.4,65.3,63.1,44.6,83.8,0.0,0.0,0
1714204,2022,131.2,66.7,64.5,45.5,85.7,0.0,0.0,0
1714204,2023,134.0,68.2,65.8,46.6,87.4,0.0,0.0,0
1714204,2024,136.9,69.7,67.2,47.5,89.4,0.0,0.0,0
1714207,2011,174.4,88.8,,100.9,56.4,,17.099999999999994,1
1714207,2012,177.9,90.5,,112.0,65.9,,0.0,1
1714207,2016,192.2,97.9,94.3,117.2,75.0,0.0,0.0,0
1714207,2020,208.4,106.3,102.1,125.7,82.7,2.842170943040401e-14,0.0,0
1714212,2011,200.2,101.9,,69.9,110.3,,20.0,1
1714212,2012,204.1,103.9,,80.5,123.6,,0.0,1
1714212,2016,221.6,112.5,109.1,86.8,134.8,0.0,-2.842170943040401e-14,0
1714212,2020,178.6,91.2,87.4,53.0,125.6,-2.842170943040401e-14,0.0,0
1714216,2010,131.1,65.9,,68.8,62.3,,0.0,1
1714216,2013,144.6,73.3,,67.9,76.7,,-2.842170943040401e-14,1
1714216,2014,147.2,74.7,72.5,68.9,78.3,0.0,0.0,0
1714216,2015,149.9,76.1,73.8,69.8,80.1,2.842170943040401e-14,2.842170943040401e-14,0
1714216,2017,154.9,78.9,76.0,71.6,83.3,0.0,2.842170943040401e-14,0
1714216,2018,157.5,80.2,77.3,72.4,85.1,0.0,0.0,0
1714216,2019,160.3,81.6,78.7,73.6,86.7,0.0,0.0,0
1714216,2021,166.1,84.6,81.5,76.2,89.9,0.0,-2.842170943040401e-14,0
1714216,2022,169.3,86.2,83.1,77.7,91.6,0.0,0.0,0
1714216,2023,172.5,87.8,84.7,79.0,93.5,0.0,0.0,0
1714216,2024,175.8,89.5,86.3,80.4,95.4,0.0,0.0,0
1714219,2011,186.8,93.4,,105.1,68.2,,13.5,1
1714219,2012,190.1,95.1,,113.0,77.1,,0.0,1
1714219,2016,204.2,102.4,101.8,117.9,86.3,0.0,0.0,0
1714219,2020,218.9,110.0,108.9,125.1,93.8,0.0,2.842170943040401e-14,0
1714224,2011,187.8,94.5,,98.2,78.6,,11.0,1
1714224,2012,191.3,96.4,,111.4,79.9,,0.0,1
1714224,2016,207.6,104.7,102.9,118.6,89.0,-2.842170943040401e-14,0.0,0
1714224,2020,225.4,113.8,111.6,128.9,96.5,2.842170943040401e-14,0.0,0
1714229,2010,189.1,94.4,,85.3,103.8,,0.0,1
1714229,2013,202.9,101.5,,90.7,112.2,,0.0,1
1714229,2014,207.1,103.5,103.6,92.5,114.6,0.0,0.0,0
1714229,2015,212.0,106.0,106.0,94.6,117.4,0.0,0.0,0
1714229,2017,199.5,99.5,100.0,97.7,101.8,0.0,0.0,0
1714229,2018,203.4,101.6,101.8,99.2,104.2,2.842170943040401e-14,0.0,0
1714229,2019,207.7,103.8,103.9,101.2,106.5,0.0,0.0,0
1714229,2021,216.8,108.4,108.4,105.4,111.4,0.0,0.0,0
1714229,2022,222.1,111.0,111.1,107.8,114.3,0.0,0.0,0
1714229,2023,227.2,113.6,113.6,110.3,116.9,0.0,0.0,0
1714229,2024,232.4,116.3,116.1,112.7,119.7,2.842170943040401e-14,0.0,0
1714234,2011,147.2,73.6,,56.5,83.6,,7.099999999999994,1
1714234,2012,149.4,74.7,,66.1,83.3,,2.842170943040401e-14,1
1714234,2016,159.5,79.9,79.6,68.8,90.7,0.0,0.0,0
1714234,2020,171.6,85.9,85.7,73.5,98.1,-2.842170943040401e-14,0.0,0
1714236,2011,170.3,84.9,,103.4,54.5,,12.400000000000006,1
1714236,2012,173.1,86.3,,120.0,53.1,,0.0,1
1714236,2016,186.0,93.0,93.0,125.7,60.3,0.0,0.0,0
1714236,2020,198.5,99.4,99.1,132.4,66.1,0.0,0.0,0
1714237,2011,226.5,114.9,,147.1,67.3,,12.100000000000023,1
1714237,2012,230.2,116.9,,158.4,71.8,,0.0,1
1714237,2016,246.7,125.6,121.1,166.1,80.6,0.0,0.0,0
1714237,2020,264.8,135.3,129.5,178.9,85.9,0.0,0.0,0
1714242,2010,176.0,88.2,,135.6,40.4,,0.0,1
1714242,2013,196.2,99.8,,135.5,60.7,,0.0,1
1714242,2014,199.7,101.6,98.1,137.1,62.6,0.0,0.0,0
1714242,2015,203.4,103.5,99.9,138.8,64.6,0.0,0.0,0
1714242,2017,205.4,104.4,101.0,142.6,62.8,0.0,2.842170943040401e-14,0
1714242,2018,208.8,106.0,102.8,144.2,64.6,0.0,2.842170943040401e-14,0
1714242,2019,212.9,108.1,104.8,146.8,66.1,2.842170943040401e-14,0.0,0
1714242,2021,221.9,112.6,109.3,152.5,69.4,2.842170943040401e-14,0.0,0
1714242,2022,226.7,115.2,111.5,155.6,71.1,0.0,0.0,0
1714242,2023,232.1,117.9,114.2,159.2,72.9,-2.842170943040401e-14,0.0,0
1714242,2024,237.1,120.5,116.6,162.4,74.7,0.0,-2.842170943040401e-14,0
1714,2010,2258.5,1135.6,,1458.8,799.7,,0.0,1
