Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,17794.0,18603.0,17879.0,24025.0,28811.0,29647.0,29340.0,31929.0,32326.0,31389.0,28233.0,39349.0,48733.0,49198.0,45135.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,870.0,678.0,759.0,982.0,1213.0,1134.0,1075.0,1309.0,1344.0,1243.0,1028.0,1467.0,2067.0,1933.0,1755.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,231.0,164.0,240.0,273.0,318.0,288.0,240.0,291.0,331.0,309.0,226.0,304.0,444.0,390.0,341.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,39.0,41.0,41.0,51.0,78.0,89.0,115.0,93.0,106.0,109.0,84.0,139.0,185.0,141.0,188.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,89.0,43.0,56.0,79.0,96.0,109.0,79.0,111.0,142.0,96.0,90.0,91.0,192.0,202.0,148.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,23.0,15.0,13.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,12.0,11.0,15.0,19.0,39.0,28.0,33.0,32.0,23.0,24.0,23.0,35.0,50.0,54.0,47.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,35.0,14.0,14.0,49.0,51.0,50.0,53.0,65.0,52.0,52.0,34.0,50.0,68.0,78.0,62.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,84.0,50.0,43.0,62.0,99.0,73.0,75.0,116.0,108.0,100.0,79.0,128.0,169.0,171.0,135.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,18.0,22.0,25.0,28.0,40.0,30.0,22.0,38.0,33.0,38.0,34.0,33.0,64.0,56.0,41.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,19.0,9.0,7.0,18.0,16.0,22.0,9.0,25.0,23.0,24.0,9.0,15.0,35.0,25.0,17.0
