Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,15215.3,15470.3,15736.4,15999.5,16258.8,16544.9,16859.9,17180.5,17527.1,17896.3,18274.8,18638.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,867.2,879.6,893.0,905.7,917.8,931.4,945.2,957.9,970.0,983.6,996.8,1009.9
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,150.7,153.1,154.2,156.0,157.7,159.7,161.8,163.9,166.3,169.1,171.4,174.2
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,88.2,89.7,91.4,92.8,94.2,96.1,98.1,99.3,100.9,102.8,104.5,106.2
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,85.0,86.6,88.3,89.9,91.5,93.4,95.3,96.9,98.3,100.1,101.9,103.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,10.6,10.7,10.7,10.8,10.8,10.8
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,24.3,24.6,24.9,25.2,25.5,25.6,25.8,26.1,26.2,26.4,26.6,26.7
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,41.8,42.3,43.0,43.4,43.9,44.2,35.4,35.7,35.9,36.2,36.5,36.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,58.5,59.4,60.3,61.0,61.8,62.5,63.3,64.1,64.6,65.5,66.2,66.8
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,23.2,23.5,23.9,24.3,24.6,24.9,25.2,25.5,25.9,26.2,26.6,26.8
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,14.4,14.6,14.8,15.0,15.2,15.4,15.6,15.9,16.3,16.5,16.6,16.7
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,21.7,22.1,22.7,23.2,23.7,24.2,24.8,25.2,25.6,26.1,26.6,27.1
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,36.3,36.7,37.2,37.7,38.1,38.5,38.7,39.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,19.1,19.1,19.3,19.4,19.5,19.6,19.7,19.9,20.0,19.1,19.1,19.1
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,97.0,98.7,100.5,102.3,103.9,105.8,107.9,109.6,111.3,113.2,115.3,117.1
