Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,13575.5,13558.4,14412.2,14623.4,14937.6,15274.5,15611.4,15869.7,16124.0,16448.8,16761.1,17048.5,17335.6,17654.0,18028.7,18403.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,811.7,818.9,853.2,861.3,874.5,890.1,907.9,922.8,936.8,952.1,967.8,981.7,994.3,1008.9,1024.5,1039.7
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,114.9,116.7,127.5,129.5,131.4,133.8,136.7,139.0,141.3,144.2,147.3,149.0,151.7,154.7,157.5,160.3
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,96.9,98.5,104.2,106.3,108.4,110.9,113.4,115.7,118.0,120.7,123.5,125.7,127.6,130.2,132.8,135.5
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.3,16.4,16.4,16.3,16.3
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,31.3,31.8,34.0,34.5,34.8,35.3,35.8,36.1,36.5,36.6,36.8,37.1,37.3,37.7,38.0,38.2
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,48.6,49.2,51.1,51.6,52.3,53.0,53.9,54.5,55.0,55.2,43.3,43.6,43.8,44.2,44.5,44.9
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,41.8,42.3,43.2,43.7,44.3,45.0,45.7,46.3,46.8,47.4,47.9,48.6,48.9,49.6,50.1,50.6
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,32.3,32.8,34.3,34.9,35.4,36.0,36.6,37.1,37.5,37.9,38.4,38.8,39.3,39.7,40.1,40.5
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,15.4,15.5,16.2,16.4,16.5,16.7,17.0,17.2,17.4,17.6,17.9,18.2,18.4,18.6,18.7,18.8
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,38.1,33.5,34.5,34.6,34.8,35.4,36.4,37.2,38.2,38.9,39.8,40.7,41.3,42.2,43.0,44.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,20.6,20.9,21.2,21.4,21.7,22.0,22.3
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,22.7,22.8,22.4,22.3,22.4,22.5,22.7,22.9,23.1,23.2,23.2,23.5,23.5,22.2,22.2,22.1
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,106.8,108.7,112.7,114.9,117.5,120.1,122.7,124.9,127.1,129.8,132.5,134.9,137.1,140.0,143.2,146.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,69.0,60.0,60.5,58.7,59.3,60.2,61.2,62.3,42.9,43.5,44.1,44.8,45.4,46.1,46.7,47.3
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,50.7,51.7,53.4,54.2,54.8,55.6,56.7,57.4,57.9,58.4,55.0,55.4,55.7,56.0,56.4,56.8
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,27.7,37.6,38.3,38.6,39.0,39.5,40.0,40.4,40.6,41.0,41.4,41.8,42.1,42.5,42.9,43.2
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,115.5,117.8,120.9,121.1,123.6,126.1,129.1,131.8,134.3,137.1,139.7,142.1,144.4,147.1,150.1,152.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1190.7,1215.4,1277.7,1302.5,1329.2,1357.3,1389.2,1410.8,1435.7,1463.2,1493.8,1522.2,1554.3,1588.2,1622.0,1654.2
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,6.7,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.9,6.9,6.9
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,66.5,67.9,69.8,71.8,73.7,75.4,77.1,78.7,80.2,81.7,83.6,85.5,87.6,89.8,91.4,92.6
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,50.8,52.2,53.9,55.5,56.8,58.0,60.7,56.9,58.0,59.5,60.8,62.5,64.1,65.4,66.7,68.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,99.6,101.7,109.8,112.1,114.8,117.7,120.4,123.2,125.6,128.3,131.6,134.2,137.2,140.6,144.1,147.7
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,37.1,38.0,40.7,41.3,42.1,42.9,43.6,44.3,45.0,45.7,46.6,47.4,48.3,49.3,50.2,51.2
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,52.0,53.2,61.5,62.7,64.2,65.8,67.8,69.2,70.3,71.4,72.9,74.4,75.9,77.7,79.5,81.2
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,89.2,90.8,95.3,96.8,98.1,99.7,101.3,103.0,104.3,105.8,107.4,109.3,111.4,113.8,116.0,118.1
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,130.1,132.6,137.4,140.2,143.2,146.3,149.4,151.8,154.5,157.3,160.6,163.7,167.0,170.2,173.8,177.4
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,44.2,45.1,46.1,47.0,47.9,48.8,49.6,50.4,51.2,52.1,53.2,54.3,55.4,56.4,57.1,57.6
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,95.1,97.2,105.0,106.8,108.8,110.8,113.6,116.0,118.1,120.4,123.0,125.2,127.4,129.6,132.0,134.2
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,178.8,182.3,192.7,196.3,200.2,204.7,209.2,213.5,218.0,222.5,227.1,230.6,235.3,240.2,245.5,250.9
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,26.4,27.4,30.0,30.8,31.5,32.1,33.8,34.4,35.0,35.6,36.3,36.8,37.9,38.9,40.1,41.1
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,158.6,161.7,170.8,173.7,177.0,180.7,184.4,187.7,190.9,194.8,198.9,202.9,207.4,212.3,217.2,221.9
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,99.9,102.0,102.6,104.7,107.1,109.5,112.2,114.7,116.8,119.0,121.3,123.9,126.8,129.6,132.5,135.1
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,55.7,56.6,55.3,56.0,56.9,58.0,59.2,60.1,60.9,62.2,63.6,64.6,65.8,67.5,69.0,70.3
